City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,lorengau,-2.0226,147.2712,80.06,83,99,6.51,PG,1670171639
316,linxia,35.6003,103.2064,23.94,46,0,1.5,CN,1670171639
317,blackwater,-23.5833,148.8833,67.46,73,2,5.59,AU,1670171640
318,waitakere,-36.9175,174.6577,59.99,71,100,11.5,NZ,1670171640
319,staryy nadym,65.6118,72.6842,23.25,94,100,11.81,RU,1670171640
320,klaksvik,62.2266,-6.589,41.92,87,100,17.76,FO,1670171641
321,college,64.8569,-147.8028,24.75,87,75,9.22,US,1670171641
322,okhotsk,59.3833,143.3,-24.23,86,22,13.15,RU,1670171642
323,maltahohe,-24.8333,16.9833,82.6,17,22,23.42,NA,1670171642
324,san policarpo,12.1791,125.5072,79.9,84,100,6.73,PH,1670171643
325,caucaia,-3.7361,-38.6531,95.31,64,20,14.97,BR,1670171643
326,tevriz,57.509,72.4042,-4.52,100,92,3.18,RU,1670171644
327,dinguiraye,11.3,-10.7167,87.24,40,84,5.01,GN,1670171644
328,yerbogachen,61.2767,108.0108,5.61,93,100,17.43,RU,1670171645
329,sungaipenuh,-2.0833,101.3833,64.15,96,100,1.12,ID,1670171645
330,vaitape,-16.5167,-151.75,78.91,81,30,14.92,PF,1670171646
331,saurimo,-9.6608,20.3916,66.58,96,98,5.61,AO,1670171646
332,nioro,13.35,-15.75,87.62,30,100,2.1,GM,1670171647
333,torbay,47.6666,-52.7314,37.58,79,75,17.27,CA,1670171647
334,dingle,10.9995,122.6711,76.44,91,100,7.4,PH,1670171648
335,lahij,13.1667,44.5833,72.46,75,33,5.95,YE,1670171648
336,boralday,43.3578,76.8594,17.46,93,75,4.47,KZ,1670171648
337,petauke,-14.2426,31.3253,79.41,35,93,4.61,ZM,1670171649
338,bull savanna,17.8868,-77.5902,81.88,57,5,13.76,JM,1670171649
339,olive branch,34.9618,-89.8295,42.73,64,75,4.61,US,1670171650
340,olafsvik,64.8945,-23.7142,43.18,72,96,9.73,IS,1670171650
341,chiredzi,-21.05,31.6667,86.7,40,0,7.72,ZW,1670171651
342,caravelas,-17.7125,-39.2481,71.2,94,100,10.56,BR,1670171651
343,luderitz,-26.6481,15.1594,66.45,59,22,24.87,NA,1670171652
344,port-gentil,-0.7193,8.7815,82.36,83,40,12.66,GA,1670171652
345,kutum,14.2,24.6667,70.48,18,86,10.2,SD,1670171653
346,surt,31.2089,16.5887,69.6,47,45,5.26,LY,1670171653
347,marsa matruh,31.3525,27.2453,64.74,71,14,8.99,EG,1670171653
348,falam,22.9167,93.6833,54.28,97,7,0.94,MM,1670171654
349,iskateley,67.6803,53.1512,6.44,92,28,8.19,RU,1670171654
350,rabat,33.9911,-6.8401,69.87,64,40,4.61,MA,1670171655
351,bealanana,-14.55,48.7333,67.69,86,79,2.75,MG,1670171655
352,san patricio,28.017,-97.5169,64.26,75,99,5.57,US,1670171656
353,bahile,9.9995,118.7878,76.91,89,100,1.61,PH,1670171656
354,ventspils,57.3894,21.5606,30.13,100,100,4.61,LV,1670171657
355,jalu,29.0331,21.5482,65.68,42,0,7.2,LY,1670171658
356,alta floresta,-9.8756,-56.0861,72.99,95,100,3.53,BR,1670171658
357,codrington,-38.2667,141.9667,57.18,80,100,18.48,AU,1670171659
